run_id,task,profile,step_id,command,status,exit_code,duration_seconds,known_blocker_id,stdout_log,stderr_log,result_path
20260505T081557Z-705d19de,pipeline-bootstrap,test,noop,"python3 -c 'print(""hello"")'",passed,0,0.13,,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081557Z-705d19de/logs/noop.stdout.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081557Z-705d19de/logs/noop.stderr.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081557Z-705d19de/step-results/noop.json
20260505T081557Z-a033000f,pipeline-bootstrap,local-fast,py-compile,python3 -m py_compile scripts/anigma_pipeline.py scripts/anigma_validate_scope.py scripts/anigma_result_contract.py scripts/anigma_common/*.py,failed,1,0.009,,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081557Z-a033000f/logs/py-compile.stdout.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081557Z-a033000f/logs/py-compile.stderr.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081557Z-a033000f/step-results/py-compile.json
20260505T081558Z-8d37c65a,td-cleanup-004,daemon-runtime,executable-advisory,python3 scripts/anigma_executable_consolidation_audit.py --mode advisory --focus anigmad --json-out .build/anigma-executable-consolidation-audit.json,failed,2,0.039,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081558Z-8d37c65a/logs/executable-advisory.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081558Z-8d37c65a/logs/executable-advisory.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081558Z-8d37c65a/step-results/executable-advisory.json
20260505T081558Z-c77e46b1,td-cleanup-004,daemon-runtime,executable-advisory,python3 scripts/anigma_executable_consolidation_audit.py --mode advisory --focus anigmad --json-out .build/anigma-executable-consolidation-audit.json,failed,2,0.037,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081558Z-c77e46b1/logs/executable-advisory.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081558Z-c77e46b1/logs/executable-advisory.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081558Z-c77e46b1/step-results/executable-advisory.json
20260505T081614Z-45cf4dc2,pipeline-bootstrap,local-fast,py-compile,python3 -m py_compile scripts/anigma_pipeline.py scripts/anigma_validate_scope.py scripts/anigma_result_contract.py scripts/anigma_common/*.py,failed,1,0.013,,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081614Z-45cf4dc2/logs/py-compile.stdout.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081614Z-45cf4dc2/logs/py-compile.stderr.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081614Z-45cf4dc2/step-results/py-compile.json
20260505T081614Z-7cd6126a,td-cleanup-004,daemon-runtime,executable-advisory,python3 scripts/anigma_executable_consolidation_audit.py --mode advisory --focus anigmad --json-out .build/anigma-executable-consolidation-audit.json,failed,2,0.114,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081614Z-7cd6126a/logs/executable-advisory.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081614Z-7cd6126a/logs/executable-advisory.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081614Z-7cd6126a/step-results/executable-advisory.json
20260505T081644Z-280dd78c,td-cleanup-004,daemon-runtime,atlas-build,python3 scripts/anigma_build_repo_atlas.py,passed,0,17.707,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-280dd78c/logs/atlas-build.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-280dd78c/logs/atlas-build.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-280dd78c/step-results/atlas-build.json
20260505T081644Z-280dd78c,td-cleanup-004,daemon-runtime,context-query,python3 scripts/anigma_context_query.py --risk daemon_ipc_binding --target AnigmaDaemonCore --limit 10,passed,0,0.626,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-280dd78c/logs/context-query.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-280dd78c/logs/context-query.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-280dd78c/step-results/context-query.json
20260505T081644Z-280dd78c,td-cleanup-004,daemon-runtime,executable-advisory,python3 scripts/anigma_executable_consolidation_audit.py --mode advisory --focus anigmad --json-out .build/anigma-executable-consolidation-audit.json,passed,0,2.588,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-280dd78c/logs/executable-advisory.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-280dd78c/logs/executable-advisory.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-280dd78c/step-results/executable-advisory.json
20260505T081644Z-39d98572,td-cleanup-004,cleanup-review,atlas-build,python3 scripts/anigma_build_repo_atlas.py,passed,0,10.922,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/logs/atlas-build.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/logs/atlas-build.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/step-results/atlas-build.json
20260505T081644Z-39d98572,td-cleanup-004,cleanup-review,atlas-check,python3 scripts/anigma_context_query.py --check,passed,0,0.336,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/logs/atlas-check.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/logs/atlas-check.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/step-results/atlas-check.json
20260505T081644Z-39d98572,td-cleanup-004,cleanup-review,dead-code-gate,python3 scripts/anigma_dead_code_audit.py --mode gate --baseline Docs/baselines/dead-code-baseline.json,passed,0,25.401,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/logs/dead-code-gate.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/logs/dead-code-gate.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/step-results/dead-code-gate.json
20260505T081644Z-39d98572,td-cleanup-004,cleanup-review,executable-gate,python3 scripts/anigma_executable_consolidation_audit.py --mode gate --baseline Docs/baselines/executable-consolidation-baseline.json --focus anigmad,passed,0,1.931,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/logs/executable-gate.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/logs/executable-gate.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/step-results/executable-gate.json
20260505T081644Z-39d98572,td-cleanup-004,cleanup-review,scope-check,python3 scripts/anigma_validate_scope.py --task td-cleanup-004 --allowed-path scripts --allowed-path Docs --allow-empty,failed,1,0.204,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/logs/scope-check.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/logs/scope-check.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T081644Z-39d98572/step-results/scope-check.json
20260505T081644Z-a283c5e0,pipeline-bootstrap,local-fast,atlas-check,python3 scripts/anigma_context_query.py --check,passed,0,0.383,,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081644Z-a283c5e0/logs/atlas-check.stdout.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081644Z-a283c5e0/logs/atlas-check.stderr.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T081644Z-a283c5e0/step-results/atlas-check.json
